"","r","alpha","depth","model"
"135",0.74106576967723,1.2,1,"4"
"136",0.742452660656447,1.3,1,"4"
"137",0.743689565223957,1.4,1,"4"
"138",0.744800198832211,1.5,1,"4"
"139",0.745797043701257,1.6,1,"4"
"140",0.746686458554169,1.7,1,"4"
"141",0.747471705778152,1.8,1,"4"
"142",0.748154699089736,1.9,1,"4"
"143",0.748736964803373,2,1,"4"
"144",0.749220126634816,2.1,1,"4"
"145",0.749606110802269,2.2,1,"4"
"146",0.749897195552197,2.3,1,"4"
"147",0.750095981686093,2.4,1,"4"
"148",0.750205329555164,2.5,1,"4"
"149",0.750228287988447,2.6,1,"4"
"150",0.750168028148143,2.7,1,"4"
"151",0.750027787858387,2.8,1,"4"
"152",0.749810827766684,2.9,1,"4"
"153",0.749520398550997,3,1,"4"
"154",0.749159717459979,3.1,1,"4"
"155",0.748731952236199,3.2,1,"4"
"156",0.748240210589383,3.3,1,"4"
"157",0.747687533659417,3.4,1,"4"
"158",0.747076892224549,3.5,1,"4"
"159",0.746411184710583,3.6,1,"4"
"160",0.745693236315449,3.7,1,"4"
"161",0.744925798772639,3.8,1,"4"
"162",0.744111550438181,3.9,1,"4"
"163",0.743253096505238,4,1,"4"
"164",0.742352969235541,4.1,1,"4"
"165",0.741413628155212,4.2,1,"4"
"166",0.74043746020055,4.3,1,"4"
"167",0.739426779822584,4.4,1,"4"
"168",0.738383829071962,4.5,1,"4"
"169",0.737310777691257,4.6,1,"4"
"170",0.73620972324266,4.7,1,"4"
"171",0.735082691296947,4.8,1,"4"
"172",0.733931635705915,4.9,1,"4"
"173",0.73275843897596,5,1,"4"
"174",0.731564912755817,5.1,1,"4"
"175",0.730352798446897,5.2,1,"4"
"176",0.729123767940562,5.3,1,"4"
"177",0.727879424482988,5.4,1,"4"
"178",0.726621303665166,5.5,1,"4"
"179",0.725350874533051,5.6,1,"4"
"180",0.724069540810813,5.7,1,"4"
"181",0.722778642228586,5.8,1,"4"
"182",0.721479455945011,5.9,1,"4"
"183",0.720173198054094,6,1,"4"
"184",0.507165604537803,0,1,"5"
"185",0.611558759384784,0.1,1,"5"
"186",0.680480112992297,0.2,1,"5"
"187",0.722317997455666,0.3,1,"5"
"188",0.747035565346372,0.4,1,"5"
"189",0.761751984302308,0.5,1,"5"
"190",0.770747119116238,0.6,1,"5"
"191",0.776448302818811,0.7,1,"5"
"192",0.780219715285601,0.8,1,"5"
"193",0.782837653358873,0.9,1,"5"
"194",0.78475360976648,1,1,"5"
"195",0.786236911544468,1.1,1,"5"
"196",0.787452321746818,1.2,1,"5"
"197",0.788502834163142,1.3,1,"5"
"198",0.789453737046382,1.4,1,"5"
"199",0.790346490342574,1.5,1,"5"
"200",0.791206989989727,1.6,1,"5"
"201",0.792050687089972,1.7,1,"5"
"202",0.792885902695335,1.8,1,"5"
"203",0.793716071230756,1.9,1,"5"
"204",0.794541317040855,2,1,"5"
"205",0.795359591479705,2.1,1,"5"
"206",0.796167503178579,2.2,1,"5"
"207",0.796960923625673,2.3,1,"5"
"208",0.797735423046882,2.4,1,"5"
"209",0.798486576401483,2.5,1,"5"
"210",0.79921017008084,2.6,1,"5"
"211",0.799902333583235,2.7,1,"5"
"212",0.800559615598264,2.8,1,"5"
"213",0.801179019950103,2.9,1,"5"
"214",0.801758013480845,3,1,"5"
"215",0.802294515117598,3.1,1,"5"
"216",0.802786873020613,3.2,1,"5"
"217",0.803233834817247,3.3,1,"5"
"218",0.803634514441225,3.4,1,"5"
"219",0.803988357962693,3.5,1,"5"
"220",0.804295109952931,3.6,1,"5"
"221",0.804554781320986,3.7,1,"5"
"222",0.804767619135872,3.8,1,"5"
"223",0.804934078662816,3.9,1,"5"
"224",0.80505479765851,4,1,"5"
"225",0.805130572859359,4.1,1,"5"
"226",0.805162338535779,4.2,1,"5"
"227",0.805151146958016,4.3,1,"5"
"228",0.805098150612422,4.4,1,"5"
"229",0.805004586013118,4.5,1,"5"
"230",0.804871758966517,4.6,1,"5"
"231",0.804701031161491,4.7,1,"5"
"232",0.804493807973547,4.8,1,"5"
"233",0.804251527385868,4.9,1,"5"
"234",0.80397564994276,5,1,"5"
"235",0.8036676496617,5.1,1,"5"
"236",0.80332900583876,5.2,1,"5"
"237",0.802961195688975,5.3,1,"5"
"238",0.802565687768429,5.4,1,"5"
"239",0.80214393612874,5.5,1,"5"
"240",0.801697375157584,5.6,1,"5"
"241",0.801227415061088,5.7,1,"5"
"242",0.800735437945628,5.8,1,"5"
"243",0.800222794457915,5.9,1,"5"
"244",0.799690800943456,6,1,"5"
